Index,C Log P,Mol Wt,nOHNH,ROTB,Molecular Volume
291,1.59,360.45,3,2,336.88
292,1.41,358.43,2,2,331.01
293,4.09,370.53,1,2,370.55
294,2.56,434.5,2,2,390.25
295,4.25,337.46,1,0,326.51
296,4,372.55,2,2,376.72
297,-2.06,1209.42,17,32,1111.03
298,2.51,474.59,1,7,419.47
299,2.36,389.41,1,1,334.03
300,2.56,488.61,1,8,436.27
301,4.04,386.53,0,3,379.86
302,3.43,272.39,2,0,268.74
303,3.56,312.45,1,1,314.04
304,6.53,405.97,0,9,389.91
305,3.09,775.86,3,5,337.59
306,0.05,157.21,3,2,157.75
307,-0.02,307.32,0,4,274.44
308,2.46,324.4,2,4,284.8
309,2.21,276.75,2,4,222.96
310,3.81,490.63,3,7,445.9
311,2.31,445.55,3,7,393.9
312,4.77,494.01,3,8,424.74
313,1.35,311.41,2,3,278.58
314,2.54,270.35,2,5,242.79
315,-1.26,129.17,5,2,126.68
316,3.07,356.45,1,7,318.53
317,2.35,357.44,1,7,314.51
318,-2.06,166.24,1,2,174.76
319,-3.93,181.22,0,2,173.55
320,3.44,319.25,0,5,265.52
321,3.06,260.77,1,5,244.23
322,3.31,274.8,0,5,261.17
323,3.47,278.4,0,4,281.23
324,3.01,290.79,0,6,270.15
325,4.67,343.9,0,6,330.38
326,3.5,255.36,0,6,260.77
327,2.16,270.38,0,6,272.86
328,3.32,388.89,1,8,354.14
329,3.53,310.83,1,0,283.78
330,4.86,501.67,3,10,489.24
331,4.58,382.89,0,2,345.49
332,2.57,255.37,0,6,260.39
333,5.07,287.41,0,1,285.15
334,2.65,151.25,2,0,159.2
335,2.77,179.31,2,0,191.67
336,4.27,307.44,0,4,306.62
337,4.43,311.47,1,5,317.94
338,4.33,287.45,1,5,301.31
339,4.83,301.47,1,5,318.12
340,-2.2,197.19,5,3,172
341,2.64,187.29,0,4,202.64
342,-2.85,137.16,1,1,130.96
343,-0.78,313.25,0,4,249.88
344,3.9,269.39,0,6,277.33
345,2.91,441.23,3,6,319.36
346,4.22,531.32,3,4,371.29
347,4.12,615.4,2,5,445.89
348,-6.2,1415.58,25,36,1204.71
349,0.78,1255.44,6,8,1143.41
350,0.25,729.79,7,13,601.23
351,0.57,543.52,7,5,459.18
352,3.71,296.55,0,9,263.63
353,-5.26,248.09,6,5,184.87
354,-4.98,204.01,3,2,137
355,-3.61,318.22,4,9,269.89
356,-5.38,233.05,5,4,165.33
357,-4.83,282.11,4,4,207.23
358,-3.12,272.09,5,4,195.34
359,4.34,373.37,3,4,318.36
360,-1.31,560.69,7,23,541.85
361,2.28,216.19,0,1,179.69
362,-1.9,149.22,3,2,135.04
363,1,613.91,3,3,278.91
364,6.78,1139.76,4,9,483.37
365,-2.38,777.09,7,10,424.87
366,-2.26,777.09,8,10,424.51
367,-2.24,791.12,6,11,442.39
368,0.98,613.91,3,3,278.91
369,0.5,277.27,1,3,211.19
370,3.61,1202.63,2,15,1203.12
371,4.26,804.03,3,7,778.9
372,5.57,326.44,1,6,329.06
373,5.8,300.44,1,5,315.59
374,6.06,371.52,0,8,376.13
375,1.07,189.22,0,3,156.5
376,1.22,286.34,4,4,256.07
377,-0.95,236.23,2,2,199.28
378,-0.67,247.25,3,2,192.01
379,-1.09,229.26,3,2,187.07
380,-0.54,224.22,2,2,192.96
381,-0.1,267.25,2,3,224.06
382,-4.59,122.98,0,1,75.79
383,7.51,720.96,4,18,663.1
384,2.64,541.58,4,24,506.62
385,7.69,718.81,3,12,648.18
386,2.44,302.42,0,5,300.49
387,3.67,466.96,1,7,413.68
388,3.26,337.42,1,5,321.13
389,1.64,245.11,4,1,193.23
390,2.84,307.43,2,11,312.81
391,2.58,291.39,2,6,288.61
392,1.11,316.43,2,7,290.6
393,3.16,415.57,4,12,418.59
394,4.48,432.6,3,14,437.94
395,4.62,452.54,2,13,425.46
396,4.21,500.55,3,14,455.24
397,1.86,292.14,2,2,208.44
398,-0.18,324.45,3,3,250.85
399,0.34,383.52,3,7,306.19
400,1.96,292.38,3,6,284.21
401,2.49,309.41,2,8,308.04
402,4.33,453.54,3,8,420.89
403,0.13,1449.27,21,13,1207.3
404,-1.61,225.21,4,4,187.75
405,-2.7,279.19,5,6,224.14
406,-0.85,267.25,5,2,218.53
407,-0.99,296.2,3,3,221.93
408,-0.8,354.1,3,2,214.62
409,-1.15,222.25,3,2,157.11
410,-0.15,236.28,2,1,174.05
411,2.85,210.28,1,2,203.26
412,2.26,200.28,1,1,198.86
413,-3.56,146.21,0,4,156.67
414,-3.09,256.33,0,8,243.31
415,-0.24,208.26,0,3,199.56
416,2.47,291.39,1,7,289.24
417,1.58,284.36,1,6,274.88
418,0.84,151.21,3,2,153.54
419,-1.23,381.83,0,4,193.35
420,-0.87,334.33,5,4,280.5
421,2.87,303.36,0,5,281.92
422,3.8,308.42,2,11,312.37
423,1.97,236.31,2,7,236.41
424,3.43,264.37,1,9,270.89
425,0.3,333.16,2,4,244.67
426,1.85,295.14,1,4,235.99
427,2.2,255.27,1,3,226.39
428,1.41,615.49,2,7,490.83
429,-5.81,776.65,14,12,632.39
430,-2.8,122.1,0,1,104.15
431,0.27,123.11,1,1,106.89
432,-0.48,122.13,2,1,110.16
433,0.04,109.13,1,1,104.71
434,9.29,564.85,0,10,596.33
435,2.46,270.24,3,1,224.05
436,3.48,242.27,0,4,231.77
437,5.92,286.46,1,5,313.41
438,1.16,384.25,4,9,381.19
439,3.44,451.62,2,8,442.37
440,3.6,654.61,3,5,546.41
441,-0.43,246.31,0,7,193.8
442,1.88,359.35,3,7,311.36
443,-0.45,144.13,2,2,122.7
444,1.67,214.05,1,5,165.91
445,2.79,393.44,1,10,362.06
446,4.08,499.62,2,10,470.39
447,4.19,446.91,1,8,385.07
448,-1.76,265.98,0,0,73.26
449,4.01,450.35,3,5,375.18
450,0.76,261.09,1,5,209
451,-1.93,243.22,5,2,201.84
452,4.72,519.57,3,6,412.62
453,5.56,489.93,2,7,388.06
454,3.13,488.02,3,7,419.1
455,3.89,493.62,2,7,461.44
456,4.99,529.53,2,7,446.63
457,4.95,853.92,4,14,756.6
458,4.24,807.89,5,13,723.85
459,0.7,588.56,3,5,493.51
460,-1.04,365.21,6,4,268.81
461,-0.59,130.08,2,0,96.91
462,-1.6,263.2,4,2,203.36
463,2.66,240.31,2,2,227.12
464,-0.79,259.26,3,1,223.02
465,0.08,305.2,3,8,263.03
466,-3.08,452.43,5,9,381.88
467,0.36,444.49,8,12,398.67
468,2.46,317.22,1,3,240.61
469,-2.02,112.18,2,0,119.83
470,3.27,437.53,3,5,377.9
471,4.76,464.83,3,6,368.26
472,1.95,398.48,3,7,370.95
473,-2.64,425.4,5,9,359.47
474,6.22,473.59,2,7,425.12
475,6.06,371.52,0,8,376.13
476,1.07,189.22,0,3,156.5
477,0.79,493.49,3,3,414.7
478,5.56,810.99,3,10,744.65
479,4.95,824.97,3,10,747.07
480,-3.46,249.1,7,5,187.62
481,4.63,375.56,1,6,344
482,-0.62,287.22,4,5,232.58
483,4.72,519.57,3,6,412.62
484,4.16,280.42,0,4,287.31
485,3.27,263.38,2,4,269.29
486,3.75,282.3,1,2,249.5
487,4.98,475.36,1,6,380.22
488,6.06,405.97,0,9,389.91
489,4.06,417.82,2,6,334.21
490,4.77,540.02,3,10,448.1
491,4.24,532.57,1,5,464.59
492,4.06,446.56,1,9,420.14
493,2.99,487.51,1,6,420.04
494,6.17,558.15,3,9,499.36
495,5.06,584.11,2,8,528.37
496,1.73,406.42,2,0,350.22
497,4.99,529.53,2,7,446.63
498,3.5,440.51,2,5,396.71
499,2.26,465.52,3,4,413.29
500,-2.08,268.27,4,2,229.99
501,6,320.05,0,3,243.25
502,3.92,295.43,0,7,303.81
503,0.8,232.24,2,2,204.82
504,-1.31,146.14,2,0,125.87
505,4.87,422.92,2,8,374.12
506,0.92,337.35,1,4,295.4
507,3.66,296.41,2,0,290.67
508,4.35,776.87,4,5,340.33
509,2.92,427.37,2,2,372.19
510,2.73,314.37,2,3,263.55
511,2.73,314.37,2,3,263.55
512,0.28,163.15,1,0,136.94
513,6.56,354.49,0,8,363.39
